itemId,model,title,price,rating,brandName,itemUrl
24395165,W1Y45A#BGJ,HP LaserJet Pro M454dw Wireless Color Laser Printer with Duplexing (W1Y45A),$489.00,4.5,HP,https://www.staples.com/hp-laserjet-pro-m454dw-wireless-color-laser-printer-w1y45a/product_24395165
2763750,T6B82A#BGJ,HP LaserJet Pro M281fdw All-In-One Wireless Laser Color Printer (T6B82A),$429.99,4.0,HP,https://www.staples.com/HP-LaserJet-Pro-M281fdw-All-in-One-Wireless-Color-Laser-Printer-T6B82A/product_2763750
24359616,TR4520 BLACK,"Canon PIXMA TR4520 Wireless Color All-In-One Printer, Black",$116.99,4.0,Canon,https://www.staples.com/canon-pixma-tr4520-wireless-color-all-in-one-printer-black/product_24359616
24286229,HL-L2390DW,"Brother HL-L2390DW Monochrome Laser Printer All-In-One with Print-Scan-Copy, Wireless, and USB",$169.99,4.5,Brother,https://www.staples.com/brother-hl-l2390dw-monochrome-laser-printer-with-convenient-flatbed-copy-scan-duplex-and-wireless-printing/product_24286229
2839262,C11CG37201,Epson WorkForce WF-7720 Wireless Wide-Format All-in-One Color Printer,$299.99,4.0,Epson,https://www.staples.com/epson-workforce-wf-7720-wide-format-all-in-one-printer/product_2839262
2764643,MFCL2750DW,"Brother MFC-L2750DW Monochrome Laser Printer All-In-One with Wireless, Network Ready and USB",$269.99,4.5,Brother,https://www.staples.com/brother-mfc-l2750dw-monochrome-laser-all-in-one-printer-with-2-7-touchscreen-single-pass-duplex-copy/product_2764643
1775790,K7V40A#B1H,"HP OfficeJet 3830 All-In-One Wireless Printer, Instant Ink/HP+ Print Plans Ready (K7V40A)",$99.99,4.0,HP,https://www.staples.com/HP-OfficeJet-3830-All-in-One-Inkjet-Printer/product_1775790
2764644,DCPL2550DW,Brother DCP-L2550DW Wireless Black and White Laser Printer,$179.99,4.5,Brother,https://www.staples.com/brother-dcp-l2550dw-monochrome-laser-multi-function-printer-with-wireless-networking-and-duplex-printing/product_2764644
24395500,W1A53A#BGJ,HP LaserJet Pro M404dn Network Monochrome Laser Printer with Duplexing (W1A53A),$329.00,4.0,HP,https://www.staples.com/hp-laserjet-pro-m404dn-network-monochrome-laser-printer-with-duplexing-w1a53a/product_24395500
24386706,1KR54A#B1H,HP OfficeJet Pro Premier All-in-One Color Inkjet Printer w/ Up To 2 Years of Free Instant Ink,$439.99,4.0,HP,https://www.staples.com/hp-officejet-pro-premier-wireless-all-in-one-color-inkjet-printer/product_24386706
24455372,1L0H8A#B1H,HP OfficeJet Pro 8035e Wireless Color All-in-One Printer (Coral) with up to 12 months Instant Ink with HP+ (1L0H8A),$219.99,4.0,HP,https://www.staples.com/hp-officejet-pro-8035e-wireless-color-all-in-one-printer-w-12-months-free-ink-coral-1l0h8a/product_24455372
2509329,B11B226201,"Epson ES-400 High-Speed Duplex Desktop Color Document Scanner, Auto Document Feeder",$249.99,4.5,Epson,https://www.staples.com/Epson-WorkForce-ES-400-Duplex-Document-Scanner/product_2509329
24301695,M2U75A#B1H,"HP OfficeJet 5255 Wireless All-In-One Printer, Instant Ink Ready (M2U75A)",$139.99,4.5,HP,https://www.staples.com/hp-officejet-5255-wireless-all-in-one-printer-instant-ink-ready-m2u75a/product_24301695
24393549,C11CG22203,Epson EcoTank® ET-2760 Wireless All-in-One Cartridge-Free SuperTank Printer,$299.99,4.5,Epson,https://www.staples.com/epson-ecotank-et-2760-wireless-usb-color-inkjet-all-in-one-printer/product_24393549
24327404,MFC-J497DW,"Brother MFC-J497DW Compact, Wireless Color Inkjet All-in-One Printer with Auto Document Feeder, and Mobile Device",$89.99,4.5,Brother,https://www.staples.com/brother-mfc-j497dw-compact-wireless-color-inkjet-all-in-one-printer-with-auto-document-feeder-and-mobile-device/product_24327404
24342684,MFC-L3710CW,Brother MFC-L3710CW Wireless All-in-One Color Laser Printer,$349.99,4.5,Brother,https://www.staples.com/brother-mfc-l3710cw-color-all-in-one-laser-printer-with-wireless/product_24342684
24358200,C11CH03201,Epson Expression Premium XP-7100 Wireless Color Inkjet Small-In-One Printer,$199.99,4.0,Epson,https://www.staples.com/epson-expression-premium-xp-7100-small-in-one-printer-c11ch03201/product_24358200
24301694,M2U85A#B1H,"HP ENVY 5055 Wireless All-In-One Photo Printer, Instant Ink Ready (M2U85A)",$129.99,4.5,HP,https://www.staples.com/hp-envy-5055-wireless-all-in-one-photo-printer-instant-ink-ready-m2u85a/product_24301694
24354286,B11B237201,Epson - FastFoto FF-680W High-Speed Wireless Desktop Photo Scanner,$579.99,4.5,Epson,https://www.staples.com/epson-fastfoto-ff-680w-photo-scanner/product_24354286
